# 대체당 제로 음료 티어 — 데이터 전문 (2026-09-03 기준)

제품 616개. 출처: 식품의약품안전처 품목제조보고 원재료(C002) + 공공데이터포털 전국통합식품영양성분정보(15100066).
열량·당류는 100mL(또는 100g)당 값이며 한 병 전체 기준이 아닙니다.
정본: https://zero-drinks-tier.vercel.app/  /  산출 코드: https://github.com/gulf1324/zero-drinks-tier

| 티어 | 제품명 | 제조사 | 감미료 | 열량 | 당류 | 용량 |
| B | 야쿠르트 콤부차 제로 | (주)삼양패키징광혜원공장 | 수크랄로스(B,4) / 아세설팜(B,16) | 2 | 0.00 | 335ml |
| B | 야쿠르트 콤부차 제로 라임맛 | (주)삼양패키징광혜원공장 | 수크랄로스(B,2) / 아세설팜(B,4) | 1 | 0.00 | 335ml |
| B | 얼박사 제로 | 동아에코팩 주식회사 | 알룰로오스(S,14) / 스테비올배당체(A,7) / 수크랄로스(B,2) / 아세설팜(B,8) | 4 | 0.00 | 355ml |
| B | 에너린 ENERIN | 오케이에프음료 주식회사 | 알룰로오스(S,1) / 스테비올배당체(A,14) / 수크랄로스(B,15) | 19 | 3.20 | 250ml |
| B | 에너지드링크 레몬라임 | 보해양조(주) 장성공장 외 1곳 | 수크랄로스(B,6) / 아세설팜(B,17) | 3 | 0.00 | 500ml |
| B | 에너지드링크 오렌지망고 | 보해양조(주) 장성공장 외 1곳 | 아세설팜(B,6) / 수크랄로스(B,8) | 3 | 0.00 | 500ml |
| B | 오늘좋은 그레이프 스파클링 제로 | (주)일화초정공장 | 알룰로오스(S,8) / 아세설팜(B,6) / 수크랄로스(B,7) | - | - | - |
| B | 오늘좋은 그린애플 스파클링 제로 | (주)일화초정공장 | 알룰로오스(S,1) / 아세설팜(B,2) / 수크랄로스(B,3) | 1 | 0.00 | 500ml |
| B | 오늘좋은 애사비 스파클링 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) | 9 | 0.00 | 500ml |
| B | 오늘좋은 파인애플 스파클링 제로 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,5) / 아세설팜(B,6) | - | - | - |
| B | 오렌지소다 제로 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 오렌지향 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,11) / 수크랄로스(B,6) / 아세설팜(B,7) | - | - | - |
| B | 오리지널 뉴욕셀처 라즈베리 소다 제로 | 튤립인터내셔널(주) | 알룰로오스(S,11) / 효소처리스테비아(A,8) / 사카린(B,7) / 수크랄로스(B,9) / 아세설팜(B,10) | 10 | 0.00 | 296ml |
| B | 오리지널 뉴욕셀처 바닐라 크림 소다 제로 | 튤립인터내셔널(주) | 알룰로오스(S,12) / 효소처리스테비아(A,9) / 사카린(B,8) / 수크랄로스(B,10) / 아세설팜(B,11) | 9 | 0.00 | 296ml |
| B | 오리지널 뉴욕셀처 블랙체리 소다 제로 | 튤립인터내셔널(주) | 알룰로오스(S,11) / 효소처리스테비아(A,1) / 사카린(B,2) / 수크랄로스(B,9) / 아세설팜(B,10) | 9 | 0.00 | 296ml |
| B | 오리지널 뉴욕셀처 콜라&베리 소다 제로 | 튤립인터내셔널(주) | 알룰로오스(S,1) / 효소처리스테비아(A,4) / 아세설팜(B,2) / 수크랄로스(B,3) / 사카린(B,5) | 9 | 0.00 | 296ml |
| B | 요구르트스파클링 제로 | 오케이에프음료 주식회사 | 아세설팜(B,13) / 아스파탐(B,14) / 수크랄로스(B,18) | - | - | - |
| B | 웰치 제로 그레이프 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,5) / 수크랄로스(B,6) | 0 | 0.00 | 500ml |
| B | 웰치 제로 샤인머스캣 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,9) / 수크랄로스(B,4) / 아세설팜(B,5) | 0 | 0.00 | 600ml |
| B | 웰치 제로 오렌지 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 웰치스 제로 그레이프 | 대경사과원예농협음료가공공장 | 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 웰치스 제로 그레이프맛 | 보해양조(주) 장성공장 외 1곳 | 알룰로오스(S,2) / 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 355ml |
| B | 웰치스 제로 샤인머스캣 | 대경사과원예농협음료가공공장 | 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 600ml |
| B | 웰치스 제로 샤인머스캣맛 | 보해양조(주) 장성공장 외 1곳 | 알룰로오스(S,11) / 수크랄로스(B,2) / 아세설팜(B,8) | 0 | 0.00 | 355ml |
| B | 웰치스 제로 애플망고맛 | 대경사과원예농협음료가공공장 | 알룰로오스(S,4) / 수크랄로스(B,12) / 아세설팜(B,13) | 0 | 0.00 | 355ml |
| B | 웰치스 제로 오렌지 | 대경사과원예농협음료가공공장 | 아세설팜(B,2) / 수크랄로스(B,7) | - | - | - |
| B | 웰치스 제로 오렌지맛 | 대경사과원예농협음료가공공장 | 수크랄로스(B,3) / 아세설팜(B,4) | 0 | 0.00 | 355ml |
| B | 웰치스 제로 체리스트로베리 | 대경사과원예농협음료가공공장 | 아세설팜(B,4) / 수크랄로스(B,5) | 0 | 0.00 | 600ml |
| B | 웰치스 제로 체리스트로베리맛 | 대경사과원예농협음료가공공장 | 수크랄로스(B,9) / 아세설팜(B,10) | 0 | 0.00 | 355ml |
| B | 이세비 에어리 페이스 드링크 | 튤립인터내셔널(주) | 알룰로오스(S,1) / 아세설팜(B,11) / 수크랄로스(B,13) | - | - | - |
| B | 쟈뎅 새콤달콤 스파클링 복숭아 ZERO | (주)삼양패키징광혜원공장 | 아세설팜(B,2) / 수크랄로스(B,3) | 1 | 0.00 | 350ml |
| B | 쟈뎅 새콤달콤 스파클링 포도 ZERO | (주)삼양패키징광혜원공장 | 아세설팜(B,2) / 수크랄로스(B,3) | 1 | 0.00 | 350ml |
| B | 저당 레몬에이드 | (주)선인 | 스테비올배당체(A,2) / 아세설팜(B,1) / 수크랄로스(B,4) | - | - | - |
| B | 저당 사과 소다 | (주)선인 | 알룰로오스(S,12) / 스테비올배당체(A,2) / 아세설팜(B,1) / 수크랄로스(B,14) | - | - | - |
| B | 저당 사과스파클링 | (주)선인 | 알룰로오스(S,1) / 스테비올배당체(A,13) / 수크랄로스(B,12) / 아세설팜(B,14) | 12 | 1.17 | 325ml |
| B | 제로 사이다 | 오케이에프음료 주식회사 외 1곳 | 아세설팜(B,3) / 수크랄로스(B,4) | 0 | 0.00 | 350ml |
| B | 제로 스파클링 배 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 수크랄로스(B,8) | 0 | 0.00 | 350ml |
| B | 제로 스파클링 자두 | 오케이에프음료 주식회사 | 아세설팜(B,8) / 수크랄로스(B,9) | - | - | - |
| B | 제로 콜라 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,1) / 아세설팜(B,2) | 0 | 0.00 | 1500ml |
| B | 제로 토닉 워터 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) | 0 | 0.00 | 500ml |
| B | 제로슈거 애플사이다비네거 | 오케이에프음료 주식회사 | 아세설팜(B,10) / 수크랄로스(B,12) | 11 | 0.00 | 500ml |
| B | 제로슈거 하이진저 | 주식회사 하이세븐 | 알룰로스(S,2) / 수크랄로스(B,2) / 아세설팜(B,2) | 11 | 0.00 | 275ml |
| B | 제로스파클링 레몬 | 오케이에프음료 주식회사 | 아세설팜(B,8) / 아스파탐(B,9) / 수크랄로스(B,10) | - | - | - |
| B | 제로스파클링 멜론 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아스파탐(B,3) / 아세설팜(B,12) | - | - | - |
| B | 제로칼로리 콜라 | (주)상일 | 수크랄로스(B,1) / 아세설팜(B,4) | 0 | 0.00 | 1000ml |
| B | 제로콜라 라임향 | (주)상일 | 수크랄로스(B,7) / 아세설팜(B,8) | 0 | 0.00 | 500ml |
| B | 제로콜라 카페인프리 | (주)상일 | 수크랄로스(B,3) / 아세설팜(B,4) | - | - | - |
| B | 제로탄산드링크(수출용) | 롯데칠성음료(주) | 아세설팜(B,6) / 수크랄로스(B,7) | - | - | - |
| B | 쥬비스 바로마시는 애사비 레몬톡 | (주)삼양패키징광혜원공장 | 알룰로오스(S,2) / 수크랄로스(B,6) | 7 | 1.38 | 340ml |
| B | 진로토닉워터 솔 | 대경사과원예농협음료가공공장 | 알룰로오스(S,3) / 효소처리스테비아(A,9) / 아세설팜(B,4) / 수크랄로스(B,5) / 사카린(B,8) | 2 | 0.00 | 300ml |
| B | 진저에일 제로 | (주)일화초정공장 외 1곳 | 알룰로오스(S,1) / 수크랄로스(B,2) / 아세설팜(B,3) | 1 | 0.00 | 500ml |
| B | 천연(泉淵)사이다 제로 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,2) / 수크랄로스(B,5) / 아세설팜(B,6) | 0 | 0.00 | 250ml |
| B | 체리 콕 | (주)상일 | 아세설팜(B,2) / 수크랄로스(B,10) | 1 | 0.00 | 500ml |
| B | 초정토닉워터 제로 | (주)일화초정공장 | 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 초정토닉워터 제로 홍매실·시소 | (주)일화초정공장 | 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 춘식이 사이다 제로 | (주)일화초정공장 외 1곳 | 알룰로오스(S,1) / 아세설팜(B,2) / 수크랄로스(B,3) | - | - | - |
| B | 춘식이 콜라 제로 | (주)일화초정공장 | 알룰로오스(S,9) / 아세설팜(B,6) / 수크랄로스(B,7) | - | - | - |
| B | 츄파춥스 딸기밀크소다 제로 | 대경사과원예농협음료가공공장 | 수크랄로스(B,4) / 아세설팜(B,5) | 2 | 0.29 | 350ml |
| B | 츄파춥스 멜론밀크소다 제로 | 대경사과원예농협음료가공공장 | 아세설팜(B,5) / 수크랄로스(B,6) | 2 | 0.29 | 350ml |
| B | 칠성사이다제로그린플럼 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,3) / 아세설팜(B,4) | 0 | 0.00 | 500ml |
| B | 칠성사이다제로블루라임 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,3) / 아세설팜(B,4) | 0 | 0.00 | 500ml |
| B | 캐나다 드라이 진저에일 토닉 ZERO | 튤립인터내셔널(주) | 아세설팜(B,6) / 수크랄로스(B,9) | 0 | 0.00 | 300ml |
| B | 컨디션 제로 스파클링 메론소다 | 튤립인터내셔널(주) | 효소처리스테비아(A,10) / 수크랄로스(B,6) | 7 | 0.07 | 100ml |
| B | 컨디션 제로 스파클링 자몽 | 튤립인터내셔널(주) | 효소처리스테비아(A,7) / 수크랄로스(B,8) | 8 | 0.05 | 100ml |
| B | 코카-콜라 제로 레몬 | 코카콜라음료(주) 외 1곳 | 수크랄로스(B,5) / 아세설팜(B,8) | 0 | 0.00 | 500ml |
| B | 코카-콜라 제로 레몬라임 | 코카콜라음료주식회사 외 1곳 | 아세설팜(B,7) / 아스파탐(B,8) / 수크랄로스(B,12) | - | - | - |
| B | 코카-콜라 제로 체리 | 코카콜라음료(주) 외 1곳 | 수크랄로스(B,5) / 아세설팜(B,8) | 0 | 0.00 | 500ml |
| B | 코카-콜라 제로제로 | 코카콜라음료(주) 외 1곳 | 수크랄로스(B,5) / 아세설팜(B,8) | 0 | 0.00 | 350ml |
| B | 코카콜라 제로 | 코카콜라음료(주) 외 2곳 | 아세설팜(B,6) / 아스파탐(B,6) | 0 | 0.00 | 1500ml |
| B | 콜라이트 그레이프팝 | (주)상일 | 수크랄로스(B,4) | - | - | - |
| B | 콜라이트 라임터치 | (주)상일 | 수크랄로스(B,6) | - | - | - |
| B | 콜라이트 오리지널 | (주)상일 | 수크랄로스(B,2) | - | - | - |
| B | 콜라이트 피치버블 | (주)상일 | 수크랄로스(B,4) | - | - | - |
| B | 콜라제로 | (주)상일 외 1곳 | 수크랄로스(B,4) / 아세설팜(B,7) | - | - | - |
| B | 콤부차스파클링 레몬진저 | 오케이에프음료 주식회사 | 아세설팜(B,3) / 수크랄로스(B,4) | 8 | 0.00 | 500ml |
| B | 콤부차스파클링 망고라임 | 오케이에프음료 주식회사 | 아세설팜(B,13) / 수크랄로스(B,14) | 8 | 0.00 | 500ml |
| B | 콤부차스파클링 자몽 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) | 8 | 0.00 | 500ml |
| B | 콤부차스파클링 타트체리 | 오케이에프음료 주식회사 | 수크랄로스(B,13) / 아세설팜(B,14) | 8 | 0.00 | 500ml |
| B | 콤부차스파클링 파인애플피치 | 오케이에프음료 주식회사 | 수크랄로스(B,13) / 아세설팜(B,14) | 8 | 0.00 | 500ml |
| B | 쿨피스 제로 스파클링 복숭아 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,9) / 수크랄로스(B,10) | 41 | 9.12 | 340ml |
| B | 쿨피스 제로 스파클링 파인애플 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,9) / 수크랄로스(B,10) | 34 | 7.65 | 340ml |
| B | 클룹 스프린트 슈퍼포커스 에너지 네온트위스트 | (주)상일 | 수크랄로스(B,11) / 아세설팜(B,12) | - | - | - |
| B | 클룹 스프린트 슈퍼포커스 에너지 오리지널 | (주)상일 | 수크랄로스(B,11) / 아세설팜(B,13) | - | - | - |
| B | 클룹 스프린트 슈퍼포커스 에너지 익스트림바이올렛 | (주)상일 | 수크랄로스(B,12) / 아세설팜(B,13) | - | - | - |
| B | 클룹 스프린트 에너지 레몬부스트 제로 | 보해양조(주) 장성공장 외 1곳 | 수크랄로스(B,7) / 아세설팜(B,8) | 4 | 0.00 | 250ml |
| B | 클룹 스프린트 에너지 사우어베리 제로 | 오케이에프음료 주식회사 외 1곳 | 수크랄로스(B,9) / 아세설팜(B,11) | 4 | 0.00 | 250ml |
| B | 클룹 스프린트 에너지 시트러스버스트 제로 | 보해양조(주) 장성공장 외 1곳 | 수크랄로스(B,4) / 아세설팜(B,14) | 4 | 0.00 | 250ml |
| B | 클룹 스프린트 에너지 애플블라스트 제로 | 보해양조(주) 장성공장 외 2곳 | 아세설팜(B,6) / 수크랄로스(B,7) | 4 | 0.00 | 250ml |
| B | 클룹 스프린트 에너지 오렌지임팩트 제로 | 보해양조(주) 장성공장 | 아세설팜(B,3) / 수크랄로스(B,4) | - | - | - |
| B | 클룹 애사비소다 딥 | 건강한사람들 주식회사 2사업장 외 2곳 | 알룰로오스(S,1) / 수크랄로스(B,8) / 아세설팜(B,9) | 5 | 0.00 | 350ml |
| B | 클룹 애사비소다 레몬 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,1) / 수크랄로스(B,7) / 아세설팜(B,8) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 레몬비니거 제로 | 보해양조(주) 장성공장 외 2곳 | 알룰로오스(S,9) / 아세설팜(B,1) / 수크랄로스(B,2) | 3 | 0.00 | 100ml |
| B | 클룹 애사비소다 리치 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,7) / 수크랄로스(B,13) / 아세설팜(B,14) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 망고 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,2) / 수크랄로스(B,8) / 아세설팜(B,9) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 매실 제로 | 오케이에프음료 주식회사 외 2곳 | 알룰로오스(S,2) / 아세설팜(B,9) / 수크랄로스(B,10) | 0 | 0.00 | 250ml |
| B | 클룹 애사비소다 사이다 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,16) / 아세설팜(B,9) / 수크랄로스(B,10) | - | - | - |
| B | 클룹 애사비소다 샤인머스캣 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,3) / 수크랄로스(B,9) / 아세설팜(B,10) | 2 | 0.00 | 500ml |
| B | 클룹 애사비소다 신비복숭아 제로 | 튤립인터내셔널(주) 외 2곳 | 알룰로오스(S,14) / 아세설팜(B,7) / 수크랄로스(B,8) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 오리지널 | 튤립인터내셔널(주) 외 2곳 | 알룰로오스(S,11) / 아세설팜(B,4) / 수크랄로스(B,5) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 오리지널 제로 | 보해양조(주) 장성공장 외 3곳 | 알룰로오스(S,10) / 아세설팜(B,3) / 수크랄로스(B,4) | 3 | 0.00 | 100ml |
| B | 클룹 애사비소다 자두 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,9) / 아세설팜(B,2) / 수크랄로스(B,3) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 제주감귤 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,12) / 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 클룹 애사비소다 콜라 제로 | (주)상일 외 1곳 | 알룰로오스(S,5) / 아세설팜(B,9) / 수크랄로스(B,10) | - | - | - |
| B | 클룹 애사비소다 콜라 제로 (Cola zero) | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,6) / 수크랄로스(B,12) / 아세설팜(B,13) | 2 | 0.00 | 500ml |
| B | 클룹 애사비소다 타트체리 | 튤립인터내셔널(주) 외 2곳 | 알룰로오스(S,4) / 아세설팜(B,11) / 수크랄로스(B,12) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 타트체리 제로 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,6) / 아세설팜(B,12) / 수크랄로스(B,13) | 2 | 0.00 | 250ml |
| B | 클룹 애사비소다 패션후르츠 제로 | 튤립인터내셔널(주) 외 1곳 | 알룰로오스(S,2) / 수크랄로스(B,8) / 아세설팜(B,13) | 0 | 0.00 | 500ml |
| B | 클룹 애사비소다 화이바 제로 | 건강한사람들 주식회사 2사업장 외 1곳 | 알룰로오스(S,12) / 아세설팜(B,5) / 수크랄로스(B,6) | 25 | 0.00 | 500ml |
| B | 클룹 원더팝 레몬트위스트 | 건강한사람들 주식회사 2사업장 외 1곳 | 아세설팜(B,7) / 수크랄로스(B,8) / 올리고당(SUGAR,1) | 3 | 0.00 | 500ml |
| B | 클룹 원더팝 피치파워 | 건강한사람들 주식회사 2사업장 외 1곳 | 아세설팜(B,8) / 수크랄로스(B,9) / 올리고당(SUGAR,1) | 3 | 0.00 | 500ml |
| B | 클룹 유자레몬사이다 제로 | 튤립인터내셔널(주) | 알룰로오스(S,12) / 아세설팜(B,7) / 수크랄로스(B,8) | 3 | 0.00 | 500ml |
| B | 클룹 제로소다 레몬 | 오케이에프음료 주식회사 외 2곳 | 수크랄로스(B,11) / 아세설팜(B,12) / 올리고당(SUGAR,8) | 1 | 0.00 | 250ml |
| B | 클룹 제로소다 복숭아 | 오케이에프음료 주식회사 외 3곳 | 수크랄로스(B,8) / 아세설팜(B,9) / 올리고당(SUGAR,5) | 1 | 0.00 | 250ml |
| B | 클룹 제로소다 소다맛 | 보해양조(주) 장성공장 외 2곳 | 아세설팜(B,4) / 수크랄로스(B,5) / 올리고당(SUGAR,7) | 2 | 0.00 | 500ml |
| B | 클룹 제로소다 오렌지 | 오케이에프음료 주식회사 | 알룰로오스(S,10) / 아세설팜(B,4) / 수크랄로스(B,5) | - | - | - |
| B | 클룹 제로소다 청사과 | 보해양조(주) 장성공장 외 3곳 | 아세설팜(B,6) / 수크랄로스(B,7) / 올리고당(SUGAR,1) | 7 | 0.00 | 500ml |
| B | 클룹 제로소다 포도 | 오케이에프음료 주식회사 외 3곳 | 수크랄로스(B,8) / 아세설팜(B,9) / 올리고당(SUGAR,5) | 1 | 0.00 | 250ml |
| B | 탐사 제로소다 애플 | 오케이에프음료 주식회사 | 효소처리스테비아(A,7) / 수크랄로스(B,9) | - | - | - |
| B | 탐스JUICY오렌지 | 롯데칠성음료(주) | 스테비올배당체(A,6) / 아세설팜(B,7) / 수크랄로스(B,8) / 올리고당(SUGAR,12) / 과당(SUGAR,13) | 2 | 0.00 | 1500ml |
| B | 탐스제로멜론향 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,4) / 아세설팜(B,5) | 1 | 0.03 | 355ml |
| B | 탐스제로사과키위향 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,4) / 아세설팜(B,5) | 2 | 0.00 | 1500ml |
| B | 탑씨 제로 그린애플향 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,4) / 아세설팜(B,5) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 복숭아향 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,2) / 아세설팜(B,3) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 블루레몬향 | (주)일화초정공장 | 알룰로오스(S,2) / 수크랄로스(B,3) / 아세설팜(B,4) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 샤인머스캣향 | (주)일화초정공장 | 알룰로오스(S,7) / 수크랄로스(B,8) / 아세설팜(B,9) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 수박향 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,6) / 아세설팜(B,7) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 오렌지향 | (주)일화초정공장 | 알룰로오스(S,5) / 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 1500ml |
| B | 탑씨 제로 파인애플향 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,4) / 수크랄로스(B,7) / 아세설팜(B,8) | - | - | - |
| B | 탑씨 제로 포도향 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,3) / 수크랄로스(B,7) / 아세설팜(B,8) | 0 | 0.00 | 250ml |
| B | 테이크얼라이브 제로톡 스위티자몽 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,7) / 수크랄로스(B,8) / 아세설팜(B,9) | 3 | 0.00 | 400ml |
| B | 토닉워터 제로 | (주)일화초정공장 외 1곳 | 알룰로오스(S,1) / 수크랄로스(B,3) / 아세설팜(B,4) | - | - | - |
| B | 토닉워터 제로 홍차 | (주)일화초정공장 | 알룰로오스(S,12) / 아세설팜(B,13) / 수크랄로스(B,14) | 1 | 0.00 | 500ml |
| B | 트레비토닉워터오리지널 | 롯데칠성음료(주) | 알룰로오스(S,12) / 아세설팜(B,10) / 수크랄로스(B,11) | 3 | 0.00 | 250ml |
| B | 티젠 애사비소다 오리지널 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,1) / 수크랄로스(B,8) | 1 | 0.00 | 500ml |
| B | 팅글 레몬애사비소다 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,14) / 아세설팜(B,9) / 수크랄로스(B,10) | 5 | 0.38 | 250ml |
| B | 팅글 리얼에이드 신비복숭아 | (주)일화초정공장 | 수크랄로스(B,3) / 아세설팜(B,4) | - | - | - |
| B | 팅글 리얼에이드 오렌지 | (주)일화초정공장 | 아세설팜(B,9) / 수크랄로스(B,10) | 8 | 1.60 | 250ml |
| B | 팅글 리얼에이드 청사과 | (주)일화초정공장 | 아세설팜(B,7) / 수크랄로스(B,8) | 9 | 2.00 | 250ml |
| B | 팅글 모로오렌지애사비소다 | (주)일화초정공장 | 알룰로오스(S,13) / 아세설팜(B,9) / 수크랄로스(B,10) | 3 | 0.57 | 350ml |
| B | 팅글 파인애플애사비소다 | (주)일화초정공장 | 알룰로오스(S,4) / 수크랄로스(B,7) / 아세설팜(B,8) | 3 | 0.29 | 350ml |
| B | 파이어엑스 에너지 망고패션 | (주)일화초정공장 외 1곳 | 수크랄로스(B,5) / 아세설팜(B,19) | 2 | 0.00 | 500ml |
| B | 파이어엑스 에너지 플럼레몬 | (주)일화초정공장 외 1곳 | 아세설팜(B,3) / 수크랄로스(B,4) | 2 | 0.00 | 500ml |
| B | 파인애플소다 제로 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 파인애플향 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,8) / 수크랄로스(B,3) / 아세설팜(B,4) | - | - | - |
| B | 퍼플소다제로 | 롯데칠성음료(주) | 알룰로오스(S,1) / 수크랄로스(B,4) / 아세설팜(B,5) | 1 | 0.03 | 355ml |
| B | 펩시맥스 | 롯데칠성음료(주) | 아스파탐(B,4) / 아세설팜(B,7) | - | - | - |
| B | 펩시제로슈거 | 롯데칠성음료(주) | 아스파탐(B,5) / 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 355ml |
| B | 펩시제로슈거라임향 | 롯데칠성음료(주) | 아스파탐(B,9) / 아세설팜(B,10) / 수크랄로스(B,11) | 0 | 0.00 | 355ml |
| B | 펩시제로슈거라임향제로카페인 | 롯데칠성음료(주) | 아스파탐(B,9) / 아세설팜(B,10) / 수크랄로스(B,11) | 0 | 0.00 | 210ml |
| B | 펩시제로슈거망고향 | 롯데칠성음료(주) | 아스파탐(B,6) / 아세설팜(B,7) / 수크랄로스(B,8) | - | - | - |
| B | 펩시제로슈거모히토향 | 롯데칠성음료(주) | 수크랄로스(B,3) / 아세설팜(B,4) / 아스파탐(B,5) | 1 | 0.01 | 210ml |
| B | 펩시제로슈거파인애플향 | 롯데칠성음료(주) | 아스파탐(B,6) / 아세설팜(B,7) / 수크랄로스(B,8) | 0 | 0.00 | 355ml |
| B | 펩시제로슈거피치향 | 롯데칠성음료(주) | 아스파탐(B,5) / 수크랄로스(B,10) / 아세설팜(B,11) | 0 | 0.00 | 355ml |
| B | 포도향 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,12) / 수크랄로스(B,7) / 아세설팜(B,8) | - | - | - |
| B | 프로틴 스파클링 레몬&라임 | (주)금강비앤에프 | 아세설팜(B,6) / 수크랄로스(B,7) | 25 | 0.00 | 240ml |
| B | 프로틴 스파클링 포도 | (주)금강비앤에프 | 수크랄로스(B,7) / 아세설팜(B,8) | 29 | 0.00 | 240ml |
| B | 프로틴 스파클링 핑크자몽 | (주)금강비앤에프 | 아세설팜(B,8) / 수크랄로스(B,9) | 27 | 0.00 | 240ml |
| B | 플로럴피즈 카모민트 | 오케이에프음료 주식회사 | 수크랄로스(B,1) | 0 | 0.00 | 350ml |
| B | 플로럴피즈 히비스커스진저 | 오케이에프음료 주식회사 | 수크랄로스(B,1) | 0 | 0.00 | 350ml |
| B | 피치 스파클링에이드 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 수크랄로스(B,8) | - | - | - |
| B | 핏포유 애사비 소다 | (주)삼양패키징광혜원공장 | 알룰로오스(S,2) / 수크랄로스(B,6) | 20 | 1.81 | 340ml |
| B | 하우스사이다 제로 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 수크랄로스(B,9) | 0 | 0.00 | 500ml |
| B | 하이트제로 0.00 레몬&유자 | 오케이에프음료 주식회사 | 알룰로오스(S,20) / 효소처리스테비아(A,10) / 수크랄로스(B,9) | - | - | - |
| B | 헬씨올리고 팝 라임피치 | 오케이에프음료 주식회사 | 알룰로오스(S,11) / 스테비올배당체(A,13) / 수크랄로스(B,3) | 3 | 0.00 | 210ml |
| B | 헬씨올리고 팝 리치살구 | 오케이에프음료 주식회사 | 알룰로오스(S,16) / 스테비올배당체(A,5) / 수크랄로스(B,8) | 3 | 0.00 | 350ml |
| B | 헬씨올리고 팝 스트로베리바닐라 | 오케이에프음료 주식회사 | 알룰로오스(S,14) / 스테비올배당체(A,4) / 수크랄로스(B,5) | 4 | 0.00 | 350ml |
